Periode,Wilayah,Kode Wilayah,Kota/Kab,Kode Kota/Kab,Status Sekolah,Tingkat - I,Tingkat - II,Tingkat - III,Tingkat - IV,Tingkat - V,Tingkat - VI,Jumlah
2016,PROV. JAWA TENGAH,33,KAB. SUKOHARJO,3311,Swasta,0,3,1,7,1,1,13
2016,PROV. JAWA TENGAH,33,KAB. SUKOHARJO,3311,Negeri,8,1,5,7,12,0,33
2016,PROV. JAWA TENGAH,33,KAB. WONOGIRI,3312,Swasta,1,0,3,0,0,0,4
2016,PROV. JAWA TENGAH,33,KAB. WONOGIRI,3312,Negeri,16,8,7,6,3,0,40
2016,PROV. JAWA TENGAH,33,KAB. KARANGANYAR,3313,Swasta,1,1,0,0,0,0,2
2016,PROV. JAWA TENGAH,33,KAB. KARANGANYAR,3313,Negeri,3,8,3,4,7,8,33
2016,PROV. JAWA TENGAH,33,KAB. SRAGEN,3314,Negeri,8,8,14,10,11,6,57
2016,PROV. JAWA TENGAH,33,KAB. SRAGEN,3314,Swasta,0,1,2,0,1,1,5
2016,PROV. JAWA TENGAH,33,KAB. GROBOGAN,3315,Swasta,0,0,0,0,0,0,0
2016,PROV. JAWA TENGAH,33,KAB. GROBOGAN,3315,Negeri,17,8,0,10,10,11,56
2016,PROV. JAWA TENGAH,33,KAB. BLORA,3316,Swasta,1,3,6,1,4,0,15
2016,PROV. JAWA TENGAH,33,KAB. BLORA,3316,Negeri,8,1,2,6,7,6,30
2016,PROV. JAWA TENGAH,33,KAB. REMBANG,3317,Negeri,3,2,1,1,4,3,14
2016,PROV. JAWA TENGAH,33,KAB. REMBANG,3317,Swasta,1,0,1,1,0,0,3
2016,PROV. JAWA TENGAH,33,KAB. PATI,3318,Negeri,13,4,6,3,9,4,39
2016,PROV. JAWA TENGAH,33,KAB. PATI,3318,Swasta,1,1,1,0,1,0,4
2016,PROV. JAWA TENGAH,33,KAB. KUDUS,3319,Negeri,5,0,2,3,1,1,12
2016,PROV. JAWA TENGAH,33,KAB. KUDUS,3319,Swasta,0,0,0,1,0,0,1
2016,PROV. JAWA TENGAH,33,KAB. JEPARA,3320,Negeri,12,13,5,7,12,10,59
2016,PROV. JAWA TENGAH,33,KAB. JEPARA,3320,Swasta,2,0,0,2,0,0,4
2016,PROV. JAWA TENGAH,33,KAB. DEMAK,3321,Negeri,4,3,5,2,7,9,30
2016,PROV. JAWA TENGAH,33,KAB. DEMAK,3321,Swasta,4,2,1,0,1,0,8
2016,PROV. JAWA TENGAH,33,KAB. SEMARANG,3322,Swasta,1,0,0,1,1,1,4
2016,PROV. JAWA TENGAH,33,KAB. SEMARANG,3322,Negeri,14,4,3,2,5,8,36
2016,PROV. JAWA TENGAH,33,KAB. TEMANGGUNG,3323,Swasta,0,2,1,0,1,1,5
2016,PROV. JAWA TENGAH,33,KAB. TEMANGGUNG,3323,Negeri,8,1,7,7,7,5,35
